UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,price
10.184869,0.5987423,1.8332715,5.999603,3.100904,65499
8.6339855,0.5031545,1.8295774,6.7667546,3.6385863,249000
-0.3760809,0.94803905,1.1146222,4.0563884,3.1905985,111000
9.049146,-0.008052551,2.0275977,6.473915,4.1068363,190550
9.266648,0.37057975,2.0806825,6.118067,2.995711,126000
0.64138716,-0.20061387,0.9052266,7.7986465,2.8752973,123000
-0.53582096,0.8463086,1.5108901,4.2749023,3.32057,111400
1.5366033,0.92998296,1.5628978,7.080388,2.8375263,170000
-0.16757667,-1.0233301,1.1466564,4.185861,1.908116,111000
9.778405,0.16756712,2.3916454,7.0793834,3.9604561,93990
-0.5199712,0.71834946,1.6446068,4.7280016,2.8659852,111300
-0.17739096,0.32207748,0.9609033,8.341894,1.8458523,144000
1.9699234,1.0889609,0.52506346,6.3026867,2.2254126,111000
-0.6354613,0.79474485,1.6892526,4.6476526,2.8046625,108050
0.97779924,-0.16149472,0.6659325,8.29019,3.6855154,250000
0.60490775,-0.13769531,0.64006484,7.783029,3.7711208,165000
-0.62052846,0.79693794,1.6813012,4.645733,2.8118858,108500
8.813129,0.3932311,1.9636214,6.687792,3.8469596,276999
10.396597,0.51734346,1.4767785,7.98029,3.5893118,295000
10.024937,-0.5218716,1.9682541,5.8710856,3.8972747,64500
0.68000144,-0.088511154,0.22002904,8.465748,3.3758824,120000
-0.2623414,0.026433103,0.42585978,8.69584,1.8586655,110000
9.824457,-0.06942403,1.6723069,6.1884646,3.2224808,125000
2.3948066,0.84791476,1.3344451,7.2461042,3.652672,575000
10.05272,0.4556539,1.5800467,6.514428,3.4290667,135000
10.419407,0.30093187,1.4480098,6.5123363,2.9710522,85000
-0.43883517,0.6737821,1.6119236,4.786772,2.89808,107887
0.983998,0.13392627,0.69541156,8.084898,3.564486,349000
1.7180694,1.196165,0.55705214,6.456321,1.9662421,136000
10.183965,0.5945019,1.8648318,6.1023583,3.0537288,65500
-0.31102282,0.12516676,0.7182054,8.4213915,1.9971797,112000
0.7250952,-0.3854337,0.83154535,5.136042,3.9896016,125000
10.373391,0.3771965,1.0778701,6.795833,3.2968912,91800
0.16441366,0.056349967,1.4487656,5.0937266,3.2948594,91000
0.3570803,-0.27523366,0.6749981,7.6845984,2.8526368,93000
0.6172081,-0.101100415,1.2544645,5.47072,3.9026778,127000
9.5159025,0.101137094,1.3539004,7.922401,3.5701487,105000
10.00488,0.28717738,1.8722749,6.6523085,3.7420104,98500
0.5845147,0.5055253,1.650338,6.223374,2.5988207,107992
0.07819433,0.0067281188,1.4606043,4.9664073,3.2201087,95900
9.87487,0.24852127,1.7785945,6.5743833,3.1024935,88999
2.06312,0.7552116,0.6956054,6.435827,2.1314752,180000
0.47674045,0.5298247,4.2092233,6.736798,3.0016966,105500
0.8204808,-0.29388,1.0599942,8.281398,3.5122886,133500
0.61633164,-0.17748578,0.092630535,8.71051,3.59295,105000
9.330133,0.17666565,2.2683303,7.1727057,3.2754648,129500
8.673985,0.39602616,1.9199849,6.8721952,3.749327,220000
0.817561,-0.070712976,0.94905543,5.3789845,4.529581,107500
9.342758,0.08905791,1.9389418,5.8179564,3.4230225,91000
-0.13568875,0.21968763,0.8592324,8.508453,1.9863544,119900
10.676848,0.4566405,1.3541677,6.83854,3.1274705,130000
0.04830195,0.0743331,1.4226928,4.799663,3.19967,138500
9.0090685,0.028958099,2.0186114,6.6162734,4.0645275,138000
10.366891,0.34017593,1.7794673,5.61686,3.126825,49000
3.0799663,1.7730465,1.5355034,7.0320415,4.014659,125000
-0.09008059,-1.0017539,1.185914,4.2743154,2.0396376,68500
0.10243987,0.19948769,1.092421,7.6843543,1.1916137,110000
-0.46006134,0.6357335,1.813536,4.618281,3.4569817,107300
0.81702286,-0.18374293,1.0239547,8.290235,3.5790634,97000
-0.5068673,0.86616653,1.4294324,4.2177105,3.3131368,110000
-0.072261825,-0.7174958,0.74087095,4.273284,1.7928767,67500
0.8298864,-0.12083866,0.80707,7.8326135,3.140552,321000
0.2184533,-0.36881742,1.3401699,5.130977,3.1080723,95000
9.761831,0.17924762,2.340366,7.052729,3.9207618,145000
8.30239,0.53154314,1.9203517,6.632431,3.411699,255000
0.7469923,-0.20666787,0.9202561,8.256837,3.553896,147999
-0.53757674,-0.15396504,0.6913998,7.9611726,2.1921637,89990
9.237975,0.6683663,1.6678796,5.791532,3.347595,128000
10.662704,0.63527423,1.4308128,6.892479,3.315574,79999
-0.12624657,0.11329781,1.2951227,8.167048,1.8754075,89000
-0.39753124,0.85170895,1.3925046,4.356391,3.2009032,107164
-0.3414323,0.13101824,0.8963022,8.039672,2.1261833,272000
9.7732935,-0.08452421,1.6756455,6.3169265,3.3203275,125000
10.757056,0.6312186,1.3583896,6.7168384,3.186905,150000
1.0199165,0.1216939,0.8787913,7.932574,3.7265453,339900
9.577308,-0.48005056,2.1664126,6.5239277,4.4464884,115000
0.81162953,-0.26524025,0.9994205,8.276293,3.5683455,145000
1.4465271,1.1542189,1.443254,6.8264027,2.8429704,270000
10.08432,0.3385335,1.3818325,6.665483,3.399264,114000
-0.04388751,0.18390024,0.72808,7.9176517,1.1058136,72000
1.4628567,1.0934981,1.3684286,6.807909,2.77752,125000
-0.4438967,0.68164504,1.607375,4.7708488,2.900506,107000
0.6743763,-0.025598874,0.66758627,8.655763,3.2432458,155000
9.3611,0.09209666,1.5678264,7.5820103,3.5528595,125000
-0.5756439,0.7575201,1.6618705,4.6845293,2.839002,106450
10.384769,0.38435218,1.1160018,6.8111587,3.329204,99690
0.8139822,0.019390779,0.99421746,8.377891,3.621497,129990
9.82949,0.28452566,1.9573114,6.1256995,2.8236587,128000
0.93548995,-0.15929769,4.154832,6.140838,3.36686,100927
0.95889777,-0.17419064,4.1635475,6.150966,3.377779,61775
-0.3163278,0.9334008,1.2281314,4.291664,3.1172256,81570
0.5393714,-0.28220204,1.264826,5.435771,3.616972,134000
0.06265336,0.100383654,1.1622792,4.52225,3.1054647,76446
-0.39038247,0.5607046,1.7910097,4.7027583,3.4899595,85100
0.54928476,0.19410667,4.4843583,6.105488,3.080975,95400
-0.15587877,-0.99286884,1.0930079,4.190258,1.8996999,61200
9.370978,0.13344786,1.7579652,5.467316,3.971794,61200
-0.53075194,0.8418577,1.5168049,4.288073,3.3215292,106300
-0.45892507,0.63664025,1.8122617,4.612522,3.459329,106200
9.949427,0.36586282,1.8356265,6.268715,3.2956154,144900
9.559472,0.23566678,1.3592776,7.7169538,3.6207414,160000
-0.5365565,0.8475676,1.5056006,4.264317,3.3217878,105600
0.5724126,-0.10082864,1.4293939,5.491467,3.6414094,117700
10.049549,0.23166306,1.7051666,6.038304,2.8547118,38500
2.3810189,1.0824591,-0.1403408,5.839825,2.2849238,81000
-0.1505639,-1.008158,1.1399636,4.2016134,1.9289681,105500
2.3031387,0.5712066,1.4576255,7.4027,3.9315271,479000
0.77097666,-0.0059342934,0.29833585,8.379641,3.486221,152990
8.136796,0.5138267,1.568907,7.2666283,3.850608,280000
10.233263,0.31110176,1.7779387,6.4852324,3.3012395,114000
8.992051,0.23362231,1.0790346,6.2877464,3.0843618,133000
-0.35964942,0.70160985,1.6476676,4.662889,3.362393,114400
8.661815,0.15081625,1.2849424,6.409075,2.838543,167000
8.1258,1.0945491,1.5803585,6.7310405,3.90568,94990
0.848717,-0.06880883,0.83283335,5.28882,4.552152,105000
9.666375,0.517923,1.8275564,5.810385,3.4112086,42900
9.329675,0.0948893,2.2087991,7.3008056,3.2986004,145000
-0.13475482,-0.795235,0.8574053,4.262156,1.8100468,60000
1.9008195,0.96903604,0.98362195,6.506914,2.256248,170000
-0.11258003,0.13383837,1.2886106,8.165646,1.85207,89000
0.8450894,-0.1283949,1.0420946,8.26486,3.6515498,122800
2.354995,1.3031746,-0.027380515,5.7666783,2.2277339,49500
0.83288944,-0.108092785,0.8481641,5.273048,4.6120014,105000
-0.54829973,0.829436,1.5866611,4.424089,3.1795003,104700
-0.07213219,-0.7106269,0.7165661,4.279171,1.8008478,58000
0.11295204,0.05484073,1.2091197,7.84902,1.3327025,56000
10.218994,0.49073604,1.836427,6.0236115,3.0531394,67499
-0.4434635,0.6766668,1.6123111,4.778376,2.900224,104500
9.563619,-0.31154174,1.8954688,5.8803062,3.8595822,52000
0.85246843,-0.10030795,0.82803726,5.2778835,4.601332,129930
-0.56038535,0.74491554,1.6588769,4.6989274,2.8462296,104400
4.759082,3.6203592,1.4410377,7.01844,5.198361,198000
10.320105,0.587051,1.7905265,5.731889,3.2152548,29999
-0.6245991,-0.036057826,0.6024485,7.734255,2.061533,71900
0.5869511,-0.23531067,0.77349836,7.6569333,3.0408726,139999
9.800669,0.15798694,2.44278,7.0969057,3.9763014,104990
-0.16738485,-1.0116179,1.1341175,4.1918044,1.8987706,104000
8.81451,0.47333837,1.8189404,6.92988,3.463892,270000
0.603563,-0.34978586,0.76521325,4.885046,3.1183898,88500
0.6012039,-0.3456086,0.7712458,4.893309,3.1223857,88500
0.5430781,-0.28911453,1.2437215,5.4298544,3.656101,127000
0.27499995,-0.566303,1.3931175,4.951545,3.175562,92500
0.26122576,-0.55149555,1.3875085,4.964437,3.156711,91000
0.6899745,-0.35415536,0.9370165,5.3069825,3.8370235,165000
-0.3340751,0.5787424,1.7793682,4.7087517,3.4741027,98900
1.4381739,1.0179919,1.1934202,6.6852946,2.4838178,250000
-0.23773423,-0.07971114,0.16591306,8.652779,1.5788583,101900
9.307688,0.12098256,2.235445,7.2443914,3.2849927,129500
1.2154245,0.1503039,4.679951,7.478068,4.271628,129990
0.8308479,0.3616906,3.584145,6.825924,2.960152,140000
9.101738,0.45663792,2.1338396,6.1150327,4.024043,132500
-0.5646016,0.07786846,0.6254487,7.6069436,1.9550831,77000
0.28465492,-0.32254338,0.14378129,7.9835153,3.4552264,109999
-0.036279712,0.17919391,0.72372633,7.889913,1.1206694,58000
9.169137,0.35141054,2.0337718,6.069403,3.094376,139000
0.7052324,-0.33228555,0.055296443,8.486408,3.5673628,69000
-0.25700626,0.2111395,0.78357285,8.453328,1.9354799,155000
2.2922952,0.555461,1.419404,7.148902,3.247275,410000
8.774973,0.40259326,1.0974872,6.603616,3.5929132,165000
-0.37444448,0.61862475,1.7403572,4.675077,3.403586,106000
0.54196715,0.51678276,4.232064,6.808405,3.0423193,85124
0.69288963,-0.17584962,0.11235029,8.475252,3.5146601,135000
4.769707,3.6411006,1.4344114,7.015667,5.213937,148000
0.15222828,0.07189137,1.2554033,7.881843,1.3846859,76990
0.6377229,-0.11477338,0.89961857,7.747039,2.7089372,89000
0.8332369,-0.12088523,0.834942,5.2549405,4.612521,103880
0.97660893,0.101394184,1.039203,8.128744,3.6668775,225000
-0.6069578,0.7805393,1.6720103,4.659461,2.8269947,103500
0.38586062,-0.44319543,1.2693671,5.1416774,3.2776458,115000
0.83276975,-0.17318507,4.559041,6.033757,3.4047234,72632
0.26137388,-0.15824012,0.056639552,8.155043,3.3585038,109900
0.8301671,-0.14594023,4.505941,6.057033,3.3787165,78582
0.9488568,0.36112463,3.5422673,6.998832,3.0311553,63895
-0.30307323,0.15785672,0.8437691,7.656758,1.475462,58500
0.8399061,-0.11169818,0.8317714,5.2653728,4.6006236,103460
10.319198,0.3492145,1.6906536,6.498345,3.019457,87000
-0.37801412,0.9489469,1.1107284,4.048502,3.189564,103000
0.84032744,-0.1145485,0.8316599,5.2618523,4.605301,107380
-0.4805199,0.8599098,1.4127067,4.232118,3.2928832,96000
-0.35247865,0.87501043,1.1318586,4.0787683,3.2612453,103000
-0.3737437,0.94060796,1.1152065,4.056397,3.1915524,103000
8.254792,0.35743463,1.8332746,6.7787895,3.2476919,309900
-0.7861448,0.06964212,0.6833686,7.8405356,1.9435431,115500
0.006963935,-0.8586731,1.1104047,4.4771757,2.3304787,69500
0.54077303,-0.30258015,1.204508,5.437266,3.62575,119000
0.5329697,-0.28618646,1.2562433,5.425532,3.6514654,127000
0.051652916,-0.68493706,1.2052759,4.6823645,2.5769324,68000
0.21606556,-0.42088488,1.3700652,5.0478625,3.1141424,91000
0.52773887,-0.42124885,0.8757306,4.9166827,3.0970445,92500
0.32525152,-0.3017432,0.605305,7.7209263,3.0034857,93000
9.948174,-0.03492356,1.9291055,6.4169025,4.1226683,85000
0.74398065,-0.4238239,0.10937102,8.393448,3.6793256,160000
