surface_m2,rooms,floor,max_floor,price,neighborhood,year_built,elevator,construction_material,latitude,longitude,metro_proximity,stb_proximity
42,2,2,11,115500,164,2026,0,0,44.43776617,26.16469884,0.45445616,0.198162444
44.7,2,4,5,96900,135,2024,1,0,44.4965214,26.1224619,1.820849201,1.16125171
56.2,2,4,4,83000,135,2026,1,0,44.52420178,26.14090783,5.208026453,2.649253289
43.57,2,2,11,112000,135,2026,1,0,44.48962827,26.14258409,2.286777692,0.882839099
91.3,3,1,5,199900,135,2025,1,0,44.4965214,26.1224619,1.820849201,1.16125171
53.59,2,4,11,134000,135,2026,1,0,44.48962827,26.14258409,2.286777692,0.882839099
51,2,1,10,219318,135,2025,1,0,44.4769395,26.1119777,0.55626248,0.053288692
39.9,1,2,3,87500,135,2024,1,0,44.49405061,26.12109663,1.528005544,0.921545876
114.5,3,5,8,179900,135,2025,1,0,44.4885201,26.13376,1.614490096,0.992666347
58,2,3,5,125900,135,2025,1,0,44.5186929,26.14601253,4.826386115,2.882206109
91,3,3,4,119000,135,2026,1,0,44.51758782,26.14507386,4.682847578,2.793893922
68.5,2,2,7,101000,135,2026,1,0,44.50293126,26.13917172,3.052458565,2.380526729
74.26,3,1,10,149000,160,2026,1,0,44.4113422,26.1898017,0.526898082,0.339964553
74.92,3,2,11,172000,160,2026,1,0,44.4089594,26.2092914,0.377546244,0.45081772
73,3,6,9,490000,67,2023,0,0,44.47635173,26.11443353,0.512197276,0.235304095
43,2,5,9,210000,67,2023,0,0,44.4763517,26.1144335,0.512201222,0.23530214
53.7,2,8,9,270000,67,2023,0,0,44.4763517,26.1144335,0.512201222,0.23530214
54,2,5,10,134800,97,2025,1,0,44.44559573,26.02228424,1.28263708,0.318428333
95.38,4,3,11,152000,59,2025,1,0,44.4121476,26.0293496,0.680969353,0.174579891
82.9,3,4,11,132000,59,2025,1,0,44.4121476,26.0293496,0.680969353,0.174579891
52.2,1,4,8,94900,135,2026,1,0,44.4887235,26.1338891,1.63537226,1.015802588
30,1,3,6,41200,97,2025,0,0,44.4469466,25.9913497,1.715353462,0.326843796
109.4,3,4,8,209900,135,2026,1,0,44.4885201,26.13376,1.614490096,0.992666347
66.6,3,0,4,161000,135,2024,1,0,44.5349162,26.1423357,6.365632822,3.377165385
42,1,6,10,96000,108,2024,1,0,44.5361452,26.0923803,6.367128187,0.23914928
52.7,2,1,4,116500,135,2027,1,0,44.51353051,26.15714426,4.864858126,3.625409439
47.8,2,6,11,95000,160,2025,1,0,44.429244,26.193409,0.830215562,0.285606413
123,4,1,3,319000,135,2025,1,0,44.51485408,26.15357123,4.798155353,3.454567035
75,3,3,8,190000,135,2023,1,-1,44.4888258,26.1354876,1.748798781,0.989702354
42,2,2,10,63000,97,2026,1,0,44.44446571,25.97114956,2.167512958,0.885704082
79,3,2,7,450000,67,2023,1,0,44.469349,26.110425,1.353051047,0.057906321
54,2,2,10,81000,171,2026,1,0,44.44074618,25.97949028,1.423580028,0.45568279
54,2,2,10,81000,97,2026,1,0,44.44446571,25.97114956,2.167512958,0.885704082
29,1,7,7,41100,97,2025,1,0,44.4469341,25.992514,1.665349943,0.236858892
48,2,7,7,61600,97,2023,0,0,44.4481268,25.9899961,1.884085225,0.43504558
51,2,5,7,67400,97,2023,1,0,44.4470233,25.9924919,1.674786549,0.236250323
63.9,2,1,4,105500,160,2026,1,0,44.41453679,26.19669668,0.783455225,0.753459624
48.82,2,2,11,95000,82,2025,1,0,44.4293101,26.1927146,0.785892719,0.312038971
54.92,2,8,11,106000,82,2025,1,0,44.4293101,26.1927146,0.785892719,0.312038971
60.53,3,7,11,121000,82,2025,1,0,44.4293101,26.1927146,0.785892719,0.312038971
55,2,2,8,132300,97,2025,1,0,44.4368102,25.9896628,0.713552105,0.208731481
53,2,8,11,165000,67,2026,1,0,44.47826654,26.1090225,0.66049817,0.238490191
60,2,3,4,106800,97,2025,0,1,44.4561532,25.9959389,2.525461974,0.965919423
74,2,6,9,255000,67,2025,1,0,44.47925868,26.11365495,0.284108173,0.170668951
67,2,6,25,299000,67,2025,1,0,44.47647206,26.10144981,0.313425318,0.276183382
43,2,21,21,259000,67,2025,1,0,44.47625304,26.1033491,0.405499643,0.160903737
85,3,4,8,280000,67,2026,1,0,44.47593249,26.11740849,0.531969701,0.216229972
72,3,5,10,285000,67,2017,1,0,44.4704257,26.1109761,1.225624998,0.167153967
70,3,6,10,152000,108,2024,1,0,44.5361452,26.0923803,6.367128187,0.23914928
65,2,2,3,165000,28,2024,1,0,44.50652359,26.0193093,0.583505179,0.429620195
122.14,4,11,11,261000,160,2026,1,0,44.4089422,26.2092882,0.375619587,0.449165426
37.52,1,1,11,85000,160,2026,1,0,44.4089245,26.2092943,0.373775348,0.447167907
41,2,7,7,51200,97,2025,0,0,44.4479185,25.9896527,1.880304701,0.458883669
74.2,3,2,4,184000,135,2027,1,0,44.51353051,26.15714426,4.864858126,3.625409439
64.7,2,1,4,159900,14,2026,0,0,44.49720973,26.10162021,2.009804411,0.076563181
73.92,3,0,3,214980,135,2024,1,0,44.49121981,26.12184271,1.242446622,0.699691899
50,2,2,5,75000,97,2026,0,2,44.44935138,25.97307258,2.50153835,0.457656682
50,2,2,5,74850,97,2025,0,0,44.4476012,25.9780532,2.136778144,0.88564515
41,2,7,7,55700,97,2024,1,0,44.4469007,25.9925134,1.662177221,0.237875035
38.6,1,6,10,84000,160,2026,1,0,44.411451,26.1897381,0.539394468,0.351329636
163.08,4,10,10,299000,160,2026,1,0,44.4113422,26.1898017,0.526898082,0.339964553
40,1,1,7,67000,10,2026,1,0,44.35970911,26.15054084,1.160717759,0.148849903
54,2,1,10,97900,97,2026,1,0,44.4412259,25.97202301,1.870222432,0.700013024
90.58,3,1,4,270000,152,2025,1,0,44.50025,26.054954,1.943573957,0.266872849
48,2,5,7,49830,97,2023,1,0,44.4472212,25.9923148,1.70088159,0.246528192
83.15,3,1,7,230000,135,2019,1,0,44.4890912,26.13014433,1.422611825,0.866372578
82.78,3,7,7,220000,135,2019,1,0,44.4891903,26.1301119,1.427948069,0.874737581
26,1,5,7,33900,97,2023,0,0,44.4467757,25.9924922,1.651096005,0.243571595
40,2,7,15,215000,14,2026,1,0,44.47682728,26.1070202,0.595472831,0.124328892
46,1,3,6,101750,135,2026,1,0,44.52083641,26.13876622,4.797593122,2.366757291
47,2,5,5,109998,44,2024,1,1,44.4612989,26.1398017,1.774059651,0.225368441
47,2,5,5,109641,44,2024,1,0,44.461347,26.139763,1.775725447,0.226148927
52.6,2,1,3,130592,135,2027,1,0,44.49828103,26.16225717,4.114606995,2.186685187
45.01,2,3,7,145000,135,2023,1,0,44.49240915,26.12064253,1.342127054,0.745207706
65,2,1,7,62000,59,2023,1,0,44.4119468,26.0152931,0.765132985,0.142030045
53.99,2,0,5,123165,44,2024,1,0,44.4612989,26.1398017,1.774059651,0.225368441
91.92,3,2,4,270000,152,2025,1,0,44.50025,26.054954,1.943573957,0.266872849
58,2,3,7,113100,23,2025,1,0,44.35930387,26.1510219,1.218540119,0.096649145
115,3,11,13,166750,131,2023,1,0,44.4121657,26.0801114,1.541016982,0.192718179
40,1,1,7,63000,10,2025,1,0,44.37348,26.1254681,1.039734119,0.268469176
47,2,1,5,86500,97,2025,1,0,44.4453562,25.9874076,1.676334143,0.676789812
50,2,12,15,185000,135,2024,0,-1,44.4784996,26.1205176,0.392778899,0.133692468
225,5,5,6,1490000,55,2023,0,0,44.45798561,26.09873609,0.802192044,0.222705014
50,2,4,7,80200,23,2025,1,-1,44.36174017,26.15111656,0.993877654,0.182660381
47,2,5,6,145000,135,2024,1,-1,44.4911263,26.1239891,1.299735914,0.821468203
109,3,11,11,309990,18,2022,0,-1,44.4776055,26.1174187,0.348028651,0.039213574
104,4,2,3,369000,80,2023,0,-1,44.51382871,26.11201286,3.703648706,0.215942593
47,2,6,10,185000,67,2018,0,-1,44.47045432,26.1116856,1.203160713,0.207880739
50,2,11,11,130000,59,2010,0,-1,44.42049853,26.00387798,0.772416186,0.21543628
94,3,5,7,299000,28,2022,0,-1,44.51092223,26.07531948,3.902993505,0.471707763
49.3,2,2,4,115000,160,2019,0,-1,44.41604632,26.18988864,0.982754357,0.512319691
77,3,2,5,245000,80,2009,0,-1,44.51337802,26.10232718,3.808221421,0.25757381
89.53,3,3,6,277000,162,2015,0,-1,44.41696144,26.11896787,0.44575499,0.399777607
52,2,2,10,122900,56,1970,0,-1,44.41794093,26.14728802,0.732874358,0.1259947
73,3,1,11,275000,92,2018,0,-1,44.43061046,26.03208284,0.453063911,0.378530068
63,3,3,3,124000,10,2016,0,-1,44.37324459,26.13678843,0.714514118,0.276793631
62,3,8,10,119500,59,1971,0,-1,44.41545297,26.02928165,0.513822046,0.243628785
101,3,3,5,395000,78,2023,0,-1,44.48143692,26.08976394,0.870707479,0.321000365
51.6,2,5,7,330000,67,2025,0,-1,44.47780818,26.10195627,0.201577523,0.164325511
50.32,2,4,7,170432,14,2025,1,-1,44.48170205,26.10924214,0.596716945,0.175736099
141,4,-1,7,145000,27,2020,0,-1,44.49576133,26.02152098,0.825847791,0.657716223
54,2,8,9,115000,164,1970,0,-1,44.43550638,26.16602713,0.274955743,0.15271073
77,2,1,7,228000,170,2016,0,-1,44.43196479,26.11454904,1.030529373,0.12900202
41,1,0,10,110000,59,2017,1,0,44.41135215,26.00945482,1.133303996,0.195984982
100,4,2,6,365000,170,1983,0,-1,44.44097552,26.10070523,0.589706073,0.142999862
68,3,6,7,170000,163,1978,1,2,44.41284648,26.11002781,0.475782893,0.232017083
32,1,1,5,48900,97,2025,1,0,44.45142856,25.97236849,2.727321041,0.281623682
113,4,2,6,365000,28,2023,1,0,44.50901939,26.0740952,3.721138897,0.65543045
118,4,2,3,478000,152,2020,1,0,44.50261279,26.03816259,1.029792948,0.279698258
50,2,6,10,127000,59,1975,1,1,44.42189045,26.02756439,0.200978507,0.202526421
64.7,3,2,4,169900,14,2026,0,0,44.49666328,26.10059717,1.946343224,0.135459586
51.35,2,1,11,78100,160,2026,1,0,44.41596243,26.19768545,0.957643921,0.671581503
56.1,2,7,11,84900,160,2026,1,0,44.41597468,26.19764256,0.957940827,0.668275301
51.35,2,1,11,78100,164,2026,1,0,44.41596243,26.19755675,0.95466055,0.66470686
56.1,2,7,11,84900,160,2026,1,0,44.4160237,26.1975139,0.960224461,0.657367547
51,2,0,5,134900,135,2021,1,0,44.52307925,26.14343927,5.17152734,2.794009445
42,2,1,3,66800,97,2019,0,0,44.4513636,25.97717231,2.545457983,0.654386491
91,3,2,7,219900,14,2026,0,0,44.49586917,26.09927549,1.859520629,0.166923095
64.7,3,2,4,169900,28,2026,0,0,44.49734043,26.1017661,2.024964488,0.080789138
94,4,6,7,155000,25,2026,1,0,44.37433296,26.11002781,2.097310542,0.309801789
55,2,1,5,71900,97,2025,1,0,44.451436,25.972746,2.712731255,0.309731767
51,2,1,3,64580,139,2026,0,2,44.38075364,26.19087619,3.011490964,1.535275481
121,3,6,9,364000,67,2025,1,0,44.47826402,26.11368973,0.355970564,0.217267302
74,2,5,9,194000,67,2025,1,0,44.47798454,26.11199155,0.474712895,0.157937159
92,3,7,25,344000,67,2025,1,0,44.47954346,26.10208952,0.150871444,0.068103297
49.24,2,2,3,119000,160,2026,1,0,44.418999,26.19943,1.321592466,0.613397092
68.4,2,3,4,215000,80,2026,1,0,44.5146725,26.12025432,3.790282928,0.81440404
79,2,5,16,219500,18,2011,1,0,44.47810644,26.1151937,0.308346065,0.152165045
34.37,1,1,10,75570,160,2025,0,0,44.418937,26.1991028,1.306940364,0.590186854
65,2,5,8,185000,67,2026,1,0,44.47780644,26.11534508,0.335745146,0.137871107
85,3,6,9,124300,160,2026,1,0,44.4159502,26.1976855,0.956346527,0.672586052
53,2,0,7,113000,111,2026,0,0,44.3690325,26.16899486,2.013217245,1.815827545
40,1,1,7,67000,23,2026,0,0,44.36026054,26.15214241,1.17505794,0.218114197
49,2,5,7,82800,10,2026,0,0,44.37226062,26.1298618,0.925165968,0.135776006
55,2,7,7,88500,95,2025,0,0,44.36627171,26.11433113,2.233771175,0.201962604
66,3,0,4,125000,23,2017,0,0,44.38712759,26.09942445,1.501355248,0.322862729
74.17,3,1,4,337000,67,2027,1,1,44.46930417,26.11157748,1.327291975,0.147849304
60,2,6,10,189000,67,2025,1,0,44.47468,26.1154126,0.674531221,0.377878102
77,3,1,7,228000,25,2025,1,0,44.39501368,26.10563294,0.496110982,0.449562414
91,3,2,4,219900,28,2026,0,0,44.49734043,26.1017661,2.024964488,0.080789138
71,2,11,11,142500,164,2024,1,0,44.4346383,26.1723022,0.244308512,0.197782935
65,3,0,6,105000,10,2026,1,0,44.36791158,26.11901096,1.837699852,0.08863321
55,2,2,7,87500,25,2026,1,0,44.37433296,26.11002781,2.097310542,0.309801789
36,1,1,6,65000,25,2026,1,0,44.36148949,26.11901096,2.12704494,0.332979017
32,1,1,6,58000,25,2026,1,0,44.36791158,26.11901096,1.837699852,0.08863321
56.04,2,3,10,104180,160,2025,0,0,44.418937,26.1991028,1.306940364,0.590186854
43.21,2,4,10,87000,160,2025,0,0,44.418937,26.1991028,1.306940364,0.590186854
30,1,9,9,58000,59,1965,1,0,44.42102028,26.03826284,0.40723483,0.2335549
240,4,13,25,1598500,67,2025,1,0,44.47535528,26.10459531,0.545086362,0.057136347
42,2,2,7,65000,97,2026,1,0,44.4493112,25.98157375,2.207964005,1.04918993
142,4,6,12,699000,67,2025,1,0,44.4766033,26.1014054,0.298448837,0.288136049
140,4,9,12,659000,67,2025,1,0,44.47822209,26.09896639,0.146679315,0.157929975
144,4,15,25,869000,67,2025,1,-1,44.4766033,26.1014054,0.298448837,0.288136049
31,1,3,7,49900,97,2025,1,0,44.4436656,25.9765573,1.823068086,0.814515521
48,2,7,7,65900,97,2025,1,0,44.44328,25.9826708,1.547464736,0.464380541
43.72,2,1,7,115000,135,2026,0,0,44.5205919,26.1462587,5.021422278,2.937703443
38,1,7,8,80000,23,2024,1,0,44.36103205,26.15003802,1.012681495,0.089732792
54,2,2,10,80900,97,2026,1,0,44.44446571,25.97114956,2.167512958,0.885704082
47.3,2,1,4,169000,155,2025,1,0,44.49024117,26.06473088,2.077467575,0.095653418
52,2,5,9,200000,67,2025,1,0,44.47605681,26.1140728,0.552989349,0.213957456
52,2,2,5,117000,10,2025,1,0,44.37371605,26.13003381,0.778808905,0.036871862
68.3,3,1,10,102167,160,2026,1,0,44.4179045,26.2038071,1.368004927,0.973565677
40.65,1,3,7,77000,25,2025,1,0,44.37155672,26.11659634,1.739120901,0.131856804
