url,surface_m2,rooms,floor,price,city,year_built,elevator,construction_material,number_bathrooms,latitude,longitude,metro_proximity,stb_proximity
https://www.storia.ro/ro/oferta/garsoniera-31-mp-sector-3-mobilata-si-utilata-IDH6vA,31m²,1,parter,65 499 €,Vitan,1980,nu,N/A,1,44.411926,26.135809,0.6742923502858705,0.07332299892899513
https://www.storia.ro/ro/oferta/apartament-in-vila-piata-victoriei-3-camere-75mp-curte-300mp-IDH6vx,75m²,3,parter,249 000 €,Victoriei,N/A,nu,N/A,1,44.448467,26.08438,0.38877717196713896,0.16449073329011965
https://www.storia.ro/ro/oferta/apartament-2-camere-balcon-zona-ideala-in-sectorul-4-0-comision-IDGRhO,52.8m²,2,1/7,111 000 €,Progresul,2025,da,beton,1,44.37607,26.102432,2.452213176543265,0.16323262401966665
https://www.storia.ro/ro/oferta/3-camere-zona-marie-curie-bloc-2019-IDH6vv,73.4m²,3,3,190 550 €,Berceni,2019,nu,N/A,1,44.390564,26.106812,0.9260057549167704,0.2841337986329112
https://www.storia.ro/ro/oferta/2-camere-mihai-bravu-calea-vitan-IDH6vt,51m²,2,10,126 000 €,Vitan,N/A,nu,N/A,1,44.414787,26.133411,0.5705961294781818,0.04952242273973072
https://www.storia.ro/ro/oferta/3-camere-63mp-1-balcon-etaj-7-metrou-iancului-3-minute-aleea-lunguletu-IDFGsY,58m²,3,7/10,123 000 €,Vatra Luminoasa,1962,da,placa de beton,1,44.441086,26.133587,0.04129161451919854,0.06870154464687647
https://www.storia.ro/ro/oferta/apartament-modern-2-camere-curte-56-4-mp-zona-parc-tudor-arghezi-IDGOhz,53.35m²,2,parter/6,111 400 €,IMGB,2025,da,beton,1,44.368534,26.12119,1.667858298834167,0.1816399582346971
https://www.storia.ro/ro/oferta/2-camere-de-vanzare-vedere-lac-si-padure-parcare-subterana-si-boxa-IDH6ve,78m²,2,4/7,170 000 €,Pantelimon,2021,da,beton,1,44.440617,26.189598,0.22778234991243793,0.15944553189503333
https://www.storia.ro/ro/oferta/apartament-modern-ansamblu-green-in-zona-aparatorii-patriei-IDGQ0l,45.95m²,1,2/6,111 000 €,Aparatorii Patriei,2025,da,beton,1,44.378418,26.13346,0.20012376147332891,0.1958708875109413
https://www.storia.ro/ro/oferta/decomandat-3-camere-spatios-1-decembrie-1918-IDH6va,70m²,3,4/4,93 990 €,Titan,1970,nu,N/A,1,44.426193,26.176825,1.1300265909968503,0.19937257685490492
https://www.storia.ro/ro/oferta/apartament-modern-cu-2-camere-ansamblu-green-parc-tudor-arghezi-IDGG11,52.2m²,2,4/12,111 300 €,IMGB,2025,da,beton,1,44.36698,26.125013,1.4984643119594632,0.1520811281616526
https://www.storia.ro/ro/oferta/2-camere-piaa-roman-IDH6wF,55.92m²,2,8,144 000 €,Piata Romana,1959,da,N/A,1,44.44609,26.09754,0.03384890359640424,0.06944347878310082
https://www.storia.ro/ro/oferta/apartament-2-camere-complet-mobilat-zona-pacii-IDH6wz,55.8m²,2,5,111 000 €,Militari,2018,da,N/A,1,44.438305,26.004223,0.4817780155723109,0.20556591784631842
https://www.storia.ro/ro/oferta/direct-dezvoltator-apartament-modern-bloc-nou-2-camere-decomandat-IDGSI9,53.04m²,2,1/12,108 050 €,IMGB,2025,da,beton,1,44.36698,26.125013,1.4984643119594632,0.1520811281616526
https://www.storia.ro/ro/oferta/4-camere-titulescu-banu-manta-victoriei-primaria-s1-IDGt8X,94m²,4,7/10,250 000 €,Gara de Nord,1983,da,N/A,1,44.452312,26.074152,0.5466013185327413,0.046931988073566765
https://www.storia.ro/ro/oferta/apartament-3-camere-decomandat-5-min-de-metrou-brancoveanu-IDH6wc,76m²,3,3/8,165 000 €,Berceni,1987,da,beton,1,44.39389,26.109781,0.5412462230056706,0.20823333234214694
https://www.storia.ro/ro/oferta/comision-0-apartament-2-camere-de-vanzare-zona-kaufland-berceni-IDGW05,55.29m²,2,2/11,108 500 €,IMGB,2025,da,beton,1,44.368534,26.12119,1.667858298834167,0.1816399582346971
https://www.storia.ro/ro/oferta/vanzare-3-camere-decomandat-timpuri-noi-IDH6w5,80m²,3,2/6,276 999 €,Nerva Traian,2015,nu,beton,1,44.417133,26.118896,0.4418123491608767,0.3825556392990449
https://www.storia.ro/ro/oferta/apartament-3-camere-i-capitale-IDH6w2,75m²,3,2/2,295 000 €,Dorobanti,1943,nu,beton,1,44.45739,26.093637,0.955090730016991,0.18754623760853592
https://www.storia.ro/ro/oferta/apartament-2-camere-mobilat-utilat-salaj-IDH6w0,38m²,2,parter/4,64 500 €,Ferentari,1972,nu,N/A,1,44.39292,26.068325,2.5637703304296173,0.1277710177264349
https://www.storia.ro/ro/oferta/apartament-3-camere-apusului-IDH6uW,62m²,3,1/4,120 000 €,Militari,1970,da,cărămidă,1,44.43619,26.01326,0.68383835615845,0.23146127104194794
https://www.storia.ro/ro/oferta/apartament-2-camere-bucurestii-noi-metrou-jiului-IDH6uR,56m²,2,3/10,110 000 €,Bucurestii Noi,1967,da,N/A,1,44.483353,26.038578,0.1985440564801152,0.19240103837173628
https://www.storia.ro/ro/oferta/comision-0-apartament-modern-2-camere-decomandat-bd-metalurgiei-IDGFZT,53.04m²,2,1/12,108 050 €,IMGB,2025,da,beton,1,44.36698,26.125013,1.4984643119594632,0.1520811281616526
https://www.storia.ro/ro/oferta/2camere-13septenbrie-dorneasca-IDH6uH,58m²,2,4/8,125 000 €,13 Septembrie,1989,nu,N/A,1,44.418438,26.069542,1.318889084338591,0.31871905889080515
https://www.storia.ro/ro/oferta/oseaua-nordului-3-camere-terasa-spectaculoas-IDFY85,112m²,3,5/5,575 000 €,Herastrau,2008,da,N/A,1,44.480667,26.086449,1.1088400449514537,0.5200188369308957
https://www.storia.ro/ro/oferta/apartament-2-camere-centrala-proprie-IDH6uy,54.75m²,2,1/4,135 000 €,Electronicii,1984,nu,beton,1,44.450565,26.146431,1.50448246185035,0.07061239227157823
https://www.storia.ro/ro/oferta/2-camere-de-vnzare-cimigiu-i-ideal-investiie-i-lng-parc-IDH6uv,35.8m²,2,parter,85 000 €,Cismigiu,1960,nu,N/A,1,44.43865,26.092062,0.6584413570504472,0.2103896970597823
https://www.storia.ro/ro/oferta/ansamblu-rezidential-premium-apartament-2-camere-parc-tudor-arghezi-IDGHgF,52.85m²,2,6/11,107 887 €,IMGB,2025,da,beton,1,44.367184,26.124887,1.505298866868684,0.17683384738374447
https://www.storia.ro/ro/oferta/apartament-spatios-cu-parcare-eminescupolon-IDH6ut,96m²,3,parter/8,349 000 €,Eminescu,1975,da,beton,1,44.447693,26.104267,0.5715004368694169,0.11153045675332435
https://www.storia.ro/ro/oferta/drumul-taberei-garsoniera-1-11-lujerului-exigent-plaza-faza-5-IDH6uj,41m²,1,1/11,136 000 €,Militari,2024,da,cărămidă,1,44.428806,26.041164,0.6011611806770656,0.09971014416285205
