UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,price
11.920399,-1.2320039,1.0131512,3.027945,6.4538727,65499
10.676848,2.1940186,1.2316276,3.4864383,6.9311566,249000
0.09713393,0.53220344,-0.106253,2.9383016,-0.90209067,111000
11.32374,1.6372912,1.625361,3.735774,6.0019193,190550
11.133514,1.4933676,1.3428702,2.2093,6.5371003,126000
-0.2081044,-0.37621057,-0.6990892,4.6750326,9.558275,123000
-0.3132046,0.49090755,0.57973945,3.150304,-1.2669086,111400
0.21188372,1.9104297,0.53439033,2.904324,7.3281794,170000
-1.288665,-3.030968,0.7835149,3.2142437,1.1849284,111000
12.003623,0.026423972,2.3074453,4.651254,6.5906696,93990
-0.82849425,-0.3944579,0.83151567,3.414614,-0.7894183,111300
-1.2152456,-1.3117777,-0.7055711,3.1445212,10.7518215,144000
1.2439651,1.8312062,-1.6928794,2.3881676,5.653544,111000
-0.8439086,-0.4403946,0.720598,3.3753657,-1.0460706,108050
0.22671622,1.0990794,-0.8979931,5.4635925,10.391287,250000
-0.93264216,0.7924938,-1.0528281,5.8949504,9.60847,165000
-0.84123,-0.4135357,0.7792738,3.408619,-0.9446579,108500
10.658078,1.9219474,1.3525045,3.6909406,6.623776,276999
11.340906,-1.3104385,0.59668136,5.431033,8.322055,295000
12.246354,-0.21975608,1.5167412,3.2494013,4.829288,64500
-0.37109318,0.49632958,-1.847736,5.255477,10.633764,120000
-1.0939403,-1.3609234,-1.7866938,3.6317976,11.241413,110000
12.202838,0.10336841,0.776988,3.236298,6.1356707,125000
1.573623,3.1829386,0.3645146,4.0866327,7.932095,575000
11.75408,-0.85098827,0.9835871,4.0104165,6.3835683,135000
12.073156,-1.0257212,0.27494657,3.6932473,6.9330373,85000
-0.737799,-0.2968171,0.9277696,3.4682493,-0.6471307,107887
-0.27953285,0.96547353,-1.1691345,5.3010497,10.132946,349000
0.7440658,1.4066756,-1.742437,2.6240306,6.313371,136000
11.86526,-1.1487936,1.015347,3.0809321,6.5930333,65500
-1.45052,-1.1257364,-1.0428507,3.558003,10.947735,112000
1.3060052,-0.22095801,1.476215,4.761944,1.8016425,125000
11.390728,-0.9022124,0.022692235,4.5124593,6.7410417,91800
-0.32294932,-0.40063363,1.419488,3.879581,1.739473,91000
-0.48748997,-0.6161642,-1.0853448,4.9067216,9.439401,93000
0.5122065,0.4257275,1.6356128,4.32059,1.5102272,127000
11.620421,0.22936468,0.2872605,5.3239665,8.416364,105000
11.328627,-0.61797494,1.5590934,4.243187,6.1924715,98500
0.49424076,0.30174544,1.3245121,2.80337,6.3233857,107992
-0.5225105,-0.6282787,1.3458999,3.8579464,1.5267256,95900
12.206232,-0.36914298,0.8223471,3.4336624,6.9502463,88999
1.5186554,1.2137808,-1.360236,2.5276248,5.8388944,180000
-1.2562395,0.55654436,5.9531507,2.9746287,6.920169,105500
0.15797177,0.594354,-0.29945585,5.621133,10.307191,133500
-0.28182283,0.8910141,-1.7068477,5.821348,11.20202,105000
11.841268,0.5991762,1.5231587,3.5360432,7.5465856,129500
